id;created;edited;name;rotation_period;orbital_period;diameter;climate;gravity;terrain;surface_water;population
1;2025-07-24T09:52:44;2025-07-24T05:26:28;cutting-edge invoice Myanmar;49602;86287;3837;Grocery Street;Chicken Outdoors;Specialist hard;42219;46887
2;2025-07-24T09:50:15;2025-07-24T12:34:18;deposit solution;11177;12851;81564;core deposit;Croatia;New Bedfordshire Human;99417;43256
3;2025-07-24T08:16:53;2025-07-24T07:21:32;secondary navigating;80318;30321;3561;Bike;channels;U.S. compress;79684;27337
4;2025-07-24T05:15:21;2025-07-24T20:40:41;Incredible;24643;81724;65028;copy Account;generate transmitter;Forest Investor withdrawal;40887;8013
5;2025-07-24T02:31:15;2025-07-24T15:17:33;deposit interface optimize;60328;22185;11178;Dynamic;Operative payment;Vietnam flexibility;5739;26219
6;2025-07-24T14:02:51;2025-07-24T22:25:29;Soft SSL;72059;26110;33538;SAS Azerbaijanian;Human Incredible Rubber;Massachusetts;3131;95769
7;2025-07-24T14:40:57;2025-07-24T20:19:01;Ball Devolved;27003;38504;35399;deposit Concrete calculating;Berkshire;harness;83696;72624
8;2025-07-24T05:20:32;2025-07-24T06:23:47;Officer;87936;10453;63867;Movies open-source;RSS;Down-sized;25309;79893
9;2025-07-24T20:30:44;2025-07-24T01:25:54;Berkshire Louisiana Russian;12592;5172;95586;Music lavender;HTTP bandwidth;Handcrafted ability Rubber;81995;45576
10;2025-07-23T23:21:04;2025-07-24T08:02:17;Soap utilize Group;362;4704;97271;Pass;framework group;Car Health Kroon;58202;52625
