id;created;edited;name;model;manufacturer;cost_in_credits;length;max_atmosphering_speed;crew;passengers;cargo_capacity;consumables;hyperdrive_rating;mglt;startship_class
1;2025-07-24T15:54:24;2025-07-24T13:29:07;open-source;user input extend;defect;35880;83629;9051;28163;48680;41121;Mouse Dynamic haptic;12327;3387;compress Representative Mouse
2;2025-07-24T17:36:00;2025-07-24T05:28:55;Assurance Incredible;Highway;Mountains;22431;8359;52176;6212;1584;20771;Tactics;52807;864;experiences transmitting Guadeloupe
3;2025-07-24T09:43:36;2025-07-24T22:41:03;Electronics Canada;cross-platform Manor;Account;2612;64308;8964;38359;35828;51819;Bike didactic Movies;87025;33500;seamless
4;2025-07-24T05:55:06;2025-07-24T18:59:46;clicks-and-mortar;multi-state firmware;feed Granite;7852;87299;38481;2504;61470;69576;FTP;67064;59530;Oregon interfaces Orchestrator
5;2025-07-23T23:31:27;2025-07-24T12:42:36;invoice;Berkshire;Rial;94568;52121;85616;31890;37243;93191;Circle markets Fresh;61191;79066;multi-byte Toys
6;2025-07-24T14:11:02;2025-07-24T23:15:20;GB compressing Tokelau;Views;Buckinghamshire;74279;29940;3815;55760;22079;69341;ROI Bedfordshire Maine;12064;736;Games
7;2025-07-24T15:54:24;2025-07-24T05:07:22;Plastic Mouse Hawaii;deliverables;Small;8906;27187;36871;19106;16463;54963;payment Fantastic;9425;53626;driver bluetooth
8;2025-07-24T14:54:40;2025-07-24T00:33:53;wireless implement extend;leverage;Mississippi drive;69747;60497;86431;62792;92963;16577;Iowa cyan Soft;44473;21402;hacking applications
9;2025-07-24T10:54:08;2025-07-24T18:11:33;open-source Andorra Consultant;invoice;Ergonomic Specialist;95151;56801;50035;94341;12741;12556;haptic niches actuating;44455;8255;streamline Interface
10;2025-07-24T17:05:02;2025-07-24T09:49:37;copy Shoes;Gorgeous structure digital;Mouse;12918;44264;24575;95529;61548;96857;Iraqi;25700;35509;haptic turquoise Fundamental
