id;created;edited;name;model;manufacturer;cost_in_credits;length;max_atmosphering_speed;crew;passengers;cargo_capacity;consumables;vehicle_class
1;2025-07-24T12:29:33;2025-07-24T02:04:59;Program 24/7 Assistant;Portugal;backing collaborative Avon;59835;70478;73469;16590;81537;20439;relationships Bedfordshire Chips;invoice backing
2;2025-07-23T23:34:34;2025-07-24T04:50:18;Loan Fresh;Territory;programming generating;47279;50489;7562;20032;83301;94937;Kentucky SDD;bus Tugrik knowledge
3;2025-07-24T03:33:24;2025-07-24T08:45:06;Human mobile Arkansas;Home;Bacon;77184;30634;27598;90557;25156;55531;Arizona;Mouse Pizza Drive
4;2025-07-24T20:19:36;2025-07-24T03:30:33;green;parse Tasty deposit;needs-based;74625;53578;42110;83073;78503;19724;azure;Applications generate Tasty
5;2025-07-24T16:26:09;2025-07-24T18:56:33;Mississippi;Jersey Tools structure;Sausages;19433;89698;69139;25457;45311;54763;synthesize;interface generate
6;2025-07-24T08:05:00;2025-07-24T02:47:47;Account;compress;Unbranded;6801;46843;36572;79344;15340;38574;Account Zambia;syndicate Lead
7;2025-07-24T12:13:03;2025-07-24T07:19:11;payment;transparent back Orchestrator;withdrawal connect RAM;37770;98924;14906;3729;75021;9360;Extended partnerships Jersey;Quality
8;2025-07-24T19:54:48;2025-07-24T00:49:23;Rubber recontextualize;Chips;Sahara;53467;28180;52182;70481;15829;70311;Cheese payment;Bike enable executive
9;2025-07-24T13:29:59;2025-07-24T00:52:40;Group Electronics;Oman;index Officer;5768;14820;44239;13568;64542;46556;out-of-the-box Buckinghamshire Pizza;Account
10;2025-07-23T23:55:01;2025-07-24T15:02:51;solid;Angola;value-added;43283;55883;24484;85461;88816;73096;Granite Avon Proactive;compressing navigate Shirt
